"pos";"vars";"descr";"class";"codigos";"fonte"
"1";"ano";"Ano";"numeric";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"2";"uf";"Unidade da federação (UF)/ Estado";"character";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"3";"ano_uf";"Join das variáveis ano e uf separados por _";"character";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"4";"cod_uf";"Código IBGE da UF";"character";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"5";"cod_tse";"Código do Tribunal Superior Eleitoral (TSE) do município (5 dígitos)";"character";NA;"Tribunal Superior Eleitoral (TSE)"
"6";"cod_ibge";"Código IBGE do município sem o dígito verificador (6 dígitos)";"character";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"7";"cod_ibgedv";"Código IBGE do município com o dígito verificador (7 dígitos)";"character";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"8";"nome_mun";"Nome do município sem acento, em maiúscula no padrão usado pelo IBGE";"character";NA;"Instituto Brasileiro de Geografia e Estatística (IBGE)"
"9";"pop";"Absoluto da população residento do município";"integer";NA;"IBGE - Censo 2000 e 2010/ Contagem 1996 e 2007/ Estimado para 1995, 1997 a 1999, 2001 a 2006, 2008 a 2009, 2011 a 2017"
"10";"popuf";"Absoluto da população residente da uf";"integer";NA;"IBGE - Censo 2000 e 2010/ Contagem 1996 e 2007/ Estimado para 1995, 1997 a 1999, 2001 a 2006, 2008 a 2009, 2011 a 2017"
"11";"popbra";"Absoluto da população residente no Brasil";"integer";NA;"IBGE - Censo 2000 e 2010/ Contagem 1996 e 2007/ Estimado para 1995, 1997 a 1999, 2001 a 2006, 2008 a 2009, 2011 a 2017"
"12";"popmunufp";"Percentual da população do município sobre o total na uf";"numeric";NA;"IBGE - Censo 2000 e 2010/ Contagem 1996 e 2007/ Estimado para 1995, 1997 a 1999, 2001 a 2006, 2008 a 2009, 2011 a 2017"
"13";"popmunbrap";"Percentual da população do município sobre o total no Brasil";"numeric";NA;"IBGE - Censo 2000 e 2010/ Contagem 1996 e 2007/ Estimado para 1995, 1997 a 1999, 2001 a 2006, 2008 a 2009, 2011 a 2017"
